tarjeta_id,cliente_id,tipo_tarjeta,limite_credito,saldo_actual,fecha_emision,estatus
52,4818,Signature,259642,57433.25,2024-05-31,Cancelada
53,2128,Platino,75878,406.62,2023-11-30,Bloqueada
54,2415,Clasica,18266,15384.54,2024-10-01,Bloqueada
55,2493,Oro,36983,25091.56,2023-12-03,Vigente
56,3084,Oro,42302,29884.77,2024-03-17,Vigente
57,1886,Clasica,20891,16620.63,2024-02-16,Vigente
58,4698,Signature,274153,188746.09,2026-05-03,Bloqueada
59,2717,Clasica,12921,8841.74,2023-10-10,Cancelada
60,3807,Oro,41084,1183.58,2023-10-28,Bloqueada
61,6760,Platino,105480,47981.12,2022-11-09,Vigente
62,4084,Clasica,15075,5057.01,2023-01-01,Cancelada
63,7535,Platino,76452,637.58,2026-02-22,Cancelada
64,4685,Clasica,17052,11187.16,2026-01-06,Vigente
65,7018,Clasica,16949,5057.85,2024-12-26,Cancelada
66,4085,Clasica,12967,10182.78,2023-09-08,Bloqueada
67,998,Signature,221956,18099.51,2023-11-23,Vigente
68,5027,Signature,278834,44264.38,2025-12-06,Vigente
69,6332,Platino,86653,19419.74,2023-09-24,Vigente
70,6816,Signature,268625,130981.8,2025-12-12,Vigente
71,6615,Clasica,17318,10318.52,2025-07-14,Vigente
72,7503,Clasica,13693,1955.56,2023-05-17,Vigente
73,1412,Platino,87910,5557.09,2026-03-16,Vigente
74,484,Oro,41059,12008.11,2024-07-28,Vigente
75,910,Platino,101830,82690.11,2022-10-25,Vigente
76,2721,Oro,34663,28325.41,2023-09-22,Vigente
77,1239,Clasica,20844,1054.26,2023-01-06,Cancelada
78,3446,Oro,49923,24133.02,2025-02-19,Vigente
79,1494,Oro,43820,32958.99,2023-03-20,Bloqueada
80,2094,Clasica,12017,4396.94,2024-04-22,Bloqueada
81,7257,Platino,119735,91262.43,2023-01-10,Vigente
82,5195,Oro,53940,10449.25,2026-06-19,Bloqueada
83,738,Platino,92677,71783.64,2024-09-21,Cancelada
84,2339,Clasica,13305,428.15,2025-12-29,Vigente
85,4396,Clasica,13858,9828.56,2026-08-06,Bloqueada
86,5675,Signature,170399,92309.48,2023-03-28,Vigente
87,6746,Signature,267807,178022.82,2023-05-21,Vigente
88,7049,Clasica,12617,6371.35,2025-09-24,Vigente
89,3701,Clasica,14073,6792.53,2024-07-16,Cancelada
90,582,Platino,122209,94995.51,2022-09-05,Vigente
91,3752,Clasica,14092,4780.71,2022-12-29,Bloqueada
92,3873,Clasica,18671,10697.47,2024-10-15,Vigente
93,3653,Clasica,16145,472.7,2023-01-16,Vigente
94,6736,Oro,40954,26747.43,2024-02-20,Vigente
95,2466,Signature,198717,11503.17,2026-03-04,Bloqueada
96,4297,Platino,86102,47141.72,2023-05-10,Vigente
97,7563,Platino,85648,48856.49,2025-10-31,Vigente
98,5220,Clasica,18459,14966.9,2023-06-02,Cancelada
99,1217,Clasica,16725,11595.48,2024-11-07,Cancelada
100,2187,Signature,239728,66245.89,2026-05-06,Bloqueada
101,5991,Platino,114452,42158.53,2023-11-27,Vigente
102,5443,Clasica,18709,13110.01,2025-04-13,Vigente
103,1889,Oro,43962,19110.72,2022-08-14,Vigente
104,1797,Oro,42437,6849.1,2025-07-17,Vigente
105,92,Signature,245972,192462.62,2022-10-31,Bloqueada
106,4161,Clasica,20771,15365.66,2024-09-13,Bloqueada
107,7890,Oro,45935,3514.56,2024-05-17,Vigente
108,5566,Signature,266067,153306.97,2026-05-17,Vigente
109,3947,Clasica,17531,9422.4,2022-12-18,Vigente
110,6654,Platino,92343,68473.95,2025-09-10,Vigente
111,6801,Platino,94992,76270.44,2026-08-14,Vigente
112,7758,Oro,44422,37723.1,2026-01-01,Vigente
113,7329,Oro,41819,16494.8,2024-03-18,Vigente
114,6409,Platino,124420,87251.67,2024-09-02,Vigente
115,3834,Platino,113601,18600.21,2024-06-25,Vigente
116,7709,Clasica,18533,5189.39,2024-03-14,Cancelada
117,7492,Signature,203358,168063.29,2025-09-15,Vigente
118,5942,Signature,271958,86157.57,2025-07-28,Vigente
119,1755,Clasica,15738,4761.9,2024-12-15,Vigente
120,7429,Platino,82537,56989.37,2024-09-23,Bloqueada
121,7391,Signature,196962,166939.85,2023-02-27,Vigente
122,3723,Platino,86742,8194.65,2025-02-17,Bloqueada
123,2841,Oro,38765,24178.84,2023-06-07,Cancelada
124,6987,Clasica,14347,11516.48,2024-09-03,Cancelada
125,5549,Oro,49788,39367.34,2025-06-01,Vigente
126,5821,Platino,104078,13225.13,2025-10-13,Vigente
127,6946,Oro,37573,30304.09,2026-07-20,Vigente
128,1398,Platino,101209,55987.03,2024-05-05,Bloqueada
129,286,Platino,121692,3017.84,2025-03-22,Vigente
130,6608,Platino,96161,54403.79,2024-06-20,Bloqueada
131,4360,Oro,33144,12103.52,2024-04-14,Cancelada
132,5826,Clasica,19453,14001.04,2022-10-03,Cancelada
133,5522,Platino,124707,62819.18,2022-10-16,Vigente
134,602,Signature,249410,173634.77,2026-06-26,Bloqueada
135,286,Signature,188958,129692.45,2024-07-27,Vigente
136,511,Platino,116898,22228.29,2025-12-30,Vigente
137,7290,Oro,52575,36712.62,2025-09-23,Vigente
138,7633,Signature,239631,178561.55,2025-10-04,Vigente
139,3982,Signature,254513,124118.71,2026-02-15,Cancelada
140,7662,Clasica,17023,8304.48,2025-08-28,Cancelada
141,3627,Oro,32487,16856.46,2025-03-25,Bloqueada
142,6938,Clasica,16138,7886.05,2023-12-07,Bloqueada
143,7220,Oro,37837,1132.26,2025-08-16,Vigente
144,3231,Signature,275975,120866.63,2025-04-16,Vigente
145,6389,Oro,47436,33404.88,2025-05-04,Vigente
146,1646,Oro,41670,30654.35,2024-09-18,Vigente
147,5828,Signature,165020,38210.98,2026-04-08,Bloqueada
148,2275,Signature,178189,98779.53,2025-03-04,Bloqueada
149,7270,Signature,277814,149576.64,2023-05-11,Cancelada
150,31,Platino,72645,5543.19,2024-04-05,Vigente
151,816,Oro,49340,20761.56,2023-12-24,Vigente
152,3340,Oro,41986,8436.88,2026-06-29,Vigente
153,5121,Oro,48567,19602.05,2023-07-13,Vigente
154,2989,Oro,38126,7758.13,2025-05-10,Bloqueada
155,1218,Oro,35969,16369.91,2023-10-06,Vigente
156,451,Signature,206441,85449.13,2023-06-18,Cancelada
157,7313,Platino,103080,7993.28,2026-01-15,Vigente
158,2950,Clasica,16994,4297.91,2024-06-09,Cancelada
159,453,Platino,121602,32127.48,2024-07-31,Bloqueada
160,4416,Oro,42434,13945.41,2025-02-27,Bloqueada
161,3022,Platino,88950,53004.64,2024-05-07,Vigente
162,7312,Oro,40845,26491.49,2026-01-06,Vigente
163,5581,Clasica,12737,1445.37,2024-02-28,Cancelada
164,205,Clasica,12806,4685.52,2024-03-27,Cancelada
165,5963,Clasica,12884,5026.83,2023-06-26,Vigente
166,1499,Oro,38138,16785.93,2026-02-09,Cancelada
167,4380,Signature,240786,73569.08,2024-10-20,Vigente
168,5721,Clasica,12993,10604.61,2026-01-23,Vigente
169,3944,Platino,84198,45625.35,2025-01-26,Vigente
170,3978,Oro,38097,29464.67,2024-03-29,Vigente
171,7261,Signature,241928,33531.06,2024-06-25,Cancelada
172,5895,Signature,198834,96426.57,2026-03-08,Vigente
173,7436,Signature,189777,46607.64,2024-06-04,Vigente
174,4324,Oro,32055,8015.13,2023-07-26,Bloqueada
175,950,Oro,38315,30691.03,2025-06-10,Vigente
176,398,Platino,119824,88271.69,2025-02-08,Vigente
177,3886,Signature,199835,115997.91,2026-04-05,Cancelada
178,7,Signature,223502,81315.34,2024-04-27,Vigente
179,5019,Oro,40333,30752.16,2023-12-18,Vigente
180,1911,Signature,206676,8066.04,2023-02-12,Vigente
181,492,Oro,44057,20700.62,2022-10-14,Vigente
182,2843,Clasica,14816,10378.53,2025-09-13,Vigente
183,2902,Clasica,16120,8693.45,2023-11-24,Vigente
184,4715,Oro,53249,930.97,2024-02-02,Vigente
185,2393,Clasica,16895,2220.09,2026-04-03,Vigente
186,4156,Oro,50056,26722.38,2023-04-02,Bloqueada
187,2875,Oro,32631,25150.65,2024-01-25,Vigente
188,3496,Platino,94184,74034.22,2025-05-27,Vigente
189,5939,Oro,33293,13950.74,2022-09-19,Cancelada
190,2691,Platino,86091,21644.0,2024-12-18,Vigente
191,7900,Clasica,12726,10696.95,2025-10-21,Bloqueada
192,4442,Platino,110795,11069.63,2022-09-18,Vigente
193,7429,Platino,97450,80085.0,2022-11-30,Vigente
194,3995,Clasica,16015,13024.11,2024-03-15,Cancelada
195,3223,Clasica,17142,11291.29,2024-10-24,Vigente
196,7531,Signature,263465,114064.12,2024-08-04,Cancelada
197,3468,Signature,272576,7525.02,2024-06-11,Vigente
198,3923,Platino,107847,72280.85,2024-03-08,Vigente
199,2879,Signature,192333,32572.46,2024-03-24,Vigente
200,4169,Signature,222000,90284.23,2025-09-01,Cancelada
201,1717,Clasica,14849,6148.58,2022-08-26,Bloqueada
202,2690,Clasica,19372,3823.01,2022-10-30,Vigente
203,141,Platino,80251,13947.65,2023-03-24,Vigente
204,4866,Clasica,20216,6523.33,2024-06-22,Cancelada
205,3929,Oro,52284,22553.8,2025-05-07,Vigente
206,5007,Oro,40295,3150.26,2023-10-13,Cancelada
207,7485,Signature,271004,21120.02,2026-01-08,Bloqueada
208,3295,Clasica,14751,5986.77,2023-10-10,Cancelada
209,694,Platino,109750,46762.44,2026-06-15,Cancelada
210,2204,Platino,93224,8169.46,2022-11-13,Bloqueada
211,7978,Oro,52275,26333.23,2022-10-19,Vigente
212,5956,Oro,43800,3359.11,2024-09-01,Vigente
213,1847,Clasica,15265,2269.49,2025-03-15,Vigente
214,1583,Clasica,13875,3035.06,2023-03-11,Vigente
215,201,Platino,105353,74425.89,2023-08-01,Cancelada
216,7309,Clasica,13593,834.93,2026-02-17,Vigente
217,3182,Signature,206694,154659.74,2025-02-21,Vigente
218,3778,Signature,216503,54900.9,2026-04-11,Bloqueada
219,747,Oro,38889,32156.97,2025-12-14,Bloqueada
220,5050,Oro,53607,3544.5,2023-10-05,Vigente
221,7860,Platino,119873,48179.64,2023-09-14,Cancelada
222,3839,Platino,82940,30784.64,2024-02-01,Vigente
223,6793,Oro,46116,24636.72,2022-12-22,Vigente
224,6984,Clasica,13375,7843.89,2023-11-07,Vigente
225,2451,Signature,197025,108074.04,2023-06-07,Vigente
226,1688,Oro,52964,40157.76,2024-03-12,Vigente
227,4111,Clasica,19694,11790.97,2023-03-22,Cancelada
228,3969,Platino,112470,27931.14,2024-11-04,Bloqueada
229,7552,Oro,53830,17839.13,2025-10-24,Bloqueada
230,4554,Oro,43543,31509.06,2024-05-05,Vigente
231,6221,Clasica,12633,1364.9,2025-12-29,Vigente
232,2808,Signature,223737,143687.57,2025-03-19,Vigente
233,6382,Clasica,13759,8516.26,2024-07-05,Vigente
234,1384,Platino,101844,12824.44,2022-10-26,Vigente
235,5682,Clasica,17271,2534.66,2023-09-19,Vigente
236,154,Signature,203392,13825.05,2025-01-08,Bloqueada
237,693,Clasica,19498,12530.89,2025-10-17,Vigente
238,1504,Oro,52388,22759.98,2025-06-22,Vigente
239,3505,Signature,212673,49839.24,2025-04-07,Vigente
240,5201,Signature,204892,173950.87,2024-11-10,Cancelada
241,537,Signature,183254,52757.01,2022-08-19,Cancelada
242,4245,Oro,40853,33280.79,2025-02-23,Vigente
243,7746,Oro,54361,36101.78,2025-04-18,Bloqueada
244,6265,Clasica,15947,5244.29,2026-01-15,Bloqueada
245,3841,Oro,53375,4221.34,2022-10-27,Cancelada
246,6525,Clasica,20715,2210.0,2022-09-20,Bloqueada
247,7570,Signature,199676,95764.64,2023-10-10,Vigente
248,7030,Oro,51021,4271.03,2023-12-16,Bloqueada
249,4152,Oro,32252,19912.08,2024-07-19,Cancelada
250,2185,Clasica,17968,2436.07,2023-06-20,Cancelada
251,856,Signature,207745,108300.12,2026-07-10,Bloqueada
252,4732,Oro,45006,12591.35,2024-04-22,Vigente
253,3996,Clasica,17004,14113.38,2023-12-13,Vigente
254,3581,Platino,76131,16884.78,2024-04-10,Bloqueada
255,3388,Oro,43664,11897.04,2024-09-25,Bloqueada
256,3938,Platino,95229,67196.67,2024-06-23,Vigente
257,1610,Oro,36270,17161.92,2022-11-06,Vigente
258,4895,Platino,91759,63044.83,2026-05-28,Cancelada
259,5596,Signature,194614,110250.08,2022-10-24,Vigente
260,715,Signature,226907,104770.73,2024-01-16,Vigente
261,3921,Platino,113512,81438.08,2024-08-30,Vigente
262,2563,Signature,227140,134701.6,2024-02-24,Vigente
263,5270,Oro,40988,24242.47,2025-02-10,Vigente
264,7901,Clasica,13728,11360.46,2023-07-20,Vigente
265,1570,Clasica,15465,8598.14,2023-12-02,Vigente
266,1758,Oro,34282,26144.64,2024-01-26,Cancelada
267,3379,Oro,33090,27534.0,2025-03-31,Bloqueada
268,5041,Clasica,14438,761.11,2025-10-07,Bloqueada
269,5415,Signature,224325,36056.87,2025-11-03,Vigente
270,7579,Oro,43170,1883.78,2026-08-31,Vigente
271,7308,Platino,81934,10043.47,2024-05-12,Vigente
272,6270,Oro,54782,33108.27,2025-11-03,Vigente
273,4523,Clasica,12050,8772.29,2025-11-09,Bloqueada
274,6378,Clasica,19217,656.29,2025-01-16,Vigente
275,119,Oro,45966,36652.95,2024-08-18,Cancelada
276,1933,Clasica,14913,9827.53,2025-02-19,Bloqueada
277,4052,Platino,75281,45001.7,2025-11-02,Bloqueada
278,2082,Platino,79492,8312.02,2024-11-09,Cancelada
279,3357,Oro,45894,5811.1,2025-06-13,Vigente
280,4674,Platino,76553,4575.05,2022-12-12,Cancelada
281,4184,Clasica,18244,14566.91,2026-07-12,Bloqueada
282,5542,Oro,32037,14450.31,2024-06-19,Bloqueada
283,4500,Signature,229396,168687.77,2024-09-01,Bloqueada
284,312,Signature,212840,12499.71,2023-12-07,Cancelada
285,2139,Oro,36149,7642.2,2026-06-29,Cancelada
286,1141,Platino,83725,1540.39,2025-10-16,Vigente
287,281,Platino,86257,43161.05,2022-07-28,Vigente
288,1176,Signature,248027,5050.52,2024-04-03,Vigente
289,975,Platino,99760,46226.67,2025-09-13,Vigente
290,2414,Clasica,16112,7412.25,2024-05-30,Vigente
291,7925,Clasica,14975,4394.83,2023-06-07,Bloqueada
292,2865,Clasica,16447,12417.97,2024-06-09,Bloqueada
293,774,Platino,125960,102777.51,2025-07-10,Vigente
294,5243,Platino,88139,19349.51,2023-01-22,Vigente
295,7763,Clasica,16835,3634.22,2023-04-28,Vigente
296,748,Oro,55036,32584.88,2023-03-18,Bloqueada
297,2894,Oro,35329,24570.44,2024-06-08,Cancelada
298,3257,Signature,276121,186270.9,2022-12-05,Vigente
299,5347,Clasica,12632,8702.2,2026-01-11,Bloqueada
300,6671,Platino,125536,11213.62,2023-11-03,Vigente
301,183,Oro,49764,39666.98,2025-01-12,Bloqueada
302,1449,Platino,94070,30116.7,2025-07-24,Vigente
303,1559,Clasica,12424,8276.5,2026-05-25,Vigente
304,1714,Platino,87187,43362.16,2023-08-10,Cancelada
305,3484,Clasica,15096,6814.88,2025-01-26,Vigente
306,987,Platino,93266,73322.82,2025-12-18,Vigente
307,6250,Signature,214953,146858.34,2023-11-26,Vigente
308,296,Signature,228328,177474.47,2025-05-28,Vigente
309,7448,Clasica,15986,9939.62,2024-09-20,Vigente
310,3815,Clasica,15927,3811.9,2026-01-24,Bloqueada
311,794,Oro,54853,1153.34,2023-12-24,Bloqueada
312,5308,Signature,275876,192597.47,2024-03-21,Cancelada
313,4140,Clasica,12516,2358.43,2024-05-11,Vigente
314,5817,Clasica,18720,2275.02,2024-08-30,Vigente
315,4551,Signature,239857,26137.47,2026-02-24,Bloqueada
316,3369,Signature,251171,188639.94,2026-06-21,Vigente
317,5646,Signature,268683,82228.02,2026-01-02,Vigente
318,6659,Clasica,14528,8683.51,2023-10-29,Vigente
319,4828,Oro,41470,2802.28,2024-08-14,Cancelada
320,3085,Clasica,20283,4155.07,2022-11-02,Vigente
321,3817,Platino,105071,24398.26,2024-10-02,Cancelada
322,3029,Oro,42046,15084.58,2025-02-15,Cancelada
323,5715,Signature,275706,51496.26,2023-10-16,Vigente
324,6276,Signature,251729,204387.88,2022-12-09,Vigente
325,884,Oro,35404,29903.79,2025-08-16,Vigente
326,2269,Platino,119101,101032.37,2023-11-02,Vigente
327,130,Oro,34282,16673.57,2025-11-20,Cancelada
328,6742,Clasica,12475,1062.94,2024-02-19,Vigente
329,2342,Oro,33813,16705.92,2025-05-07,Bloqueada
330,3301,Platino,84253,14645.65,2024-10-18,Bloqueada
331,4311,Clasica,16129,10496.21,2026-04-20,Vigente
332,7214,Oro,32861,9270.62,2023-12-22,Cancelada
333,7698,Signature,192686,18386.34,2022-12-07,Cancelada
334,4860,Clasica,18527,4698.22,2022-09-12,Vigente
335,4487,Signature,239832,119399.99,2026-08-31,Vigente
336,6058,Signature,177389,126108.17,2025-03-13,Cancelada
337,7305,Oro,46741,14635.54,2023-06-28,Cancelada
338,889,Clasica,18251,6072.27,2025-05-08,Cancelada
339,4367,Oro,33106,3072.19,2024-09-28,Vigente
340,1990,Clasica,12398,7312.2,2025-11-06,Vigente
341,7802,Clasica,14583,8620.05,2024-02-13,Vigente
342,3347,Clasica,12635,786.78,2023-04-01,Cancelada
343,6915,Clasica,12569,9183.48,2022-12-27,Vigente
344,924,Oro,36266,15216.49,2024-09-16,Vigente
345,6112,Oro,45081,9864.19,2026-07-03,Vigente
346,3178,Oro,46017,18046.11,2026-04-24,Bloqueada
347,6894,Clasica,13826,9148.2,2022-09-09,Cancelada
348,5667,Clasica,13781,4465.19,2023-10-24,Vigente
349,7376,Platino,123841,84785.78,2022-09-05,Vigente
350,6880,Clasica,14484,178.11,2025-02-04,Vigente
351,902,Signature,210291,23437.46,2025-04-07,Cancelada
352,2062,Oro,45389,17428.81,2025-10-09,Vigente
353,2369,Signature,163341,15136.66,2025-11-04,Bloqueada
354,5551,Oro,37067,29999.96,2022-12-11,Vigente
355,4011,Signature,202017,115673.19,2024-10-31,Vigente
356,7668,Oro,35407,7852.34,2023-08-24,Vigente
357,7260,Platino,124411,85580.61,2026-04-24,Vigente
358,4169,Signature,200844,104099.6,2022-11-20,Vigente
359,5901,Signature,165029,8674.08,2023-02-13,Vigente
360,2510,Signature,240740,200185.16,2025-08-27,Vigente
361,7380,Oro,34348,22083.1,2023-08-20,Bloqueada
362,1634,Platino,93412,45841.97,2025-04-20,Vigente
363,668,Clasica,12715,2127.59,2023-10-04,Bloqueada
364,4943,Signature,182897,88619.09,2026-01-05,Vigente
365,6177,Clasica,19440,15050.19,2024-06-27,Vigente
366,2943,Signature,266117,141356.86,2023-05-11,Vigente
367,3717,Clasica,16997,4406.89,2024-10-06,Vigente
368,1917,Oro,33888,14389.83,2022-09-01,Vigente
369,2145,Signature,255274,161884.28,2022-11-09,Vigente
370,4370,Oro,33066,8776.76,2023-07-25,Vigente
371,6530,Signature,239969,162689.21,2025-01-27,Vigente
372,4342,Clasica,15800,1982.45,2024-02-16,Vigente
373,5586,Platino,97394,41582.54,2023-12-23,Vigente
374,3357,Signature,256562,148265.24,2023-05-14,Cancelada
375,6711,Platino,107048,49361.43,2024-08-08,Cancelada
376,4779,Oro,36391,18470.47,2025-05-26,Vigente
377,5125,Signature,181190,45408.64,2022-09-08,Vigente
378,3684,Signature,267170,28372.16,2023-08-31,Vigente
379,4989,Clasica,17707,8840.25,2026-03-22,Bloqueada
380,3563,Oro,39445,5390.97,2026-04-12,Vigente
381,346,Signature,263541,173252.41,2023-05-26,Vigente
382,7743,Platino,102056,7636.22,2024-03-30,Vigente
383,4096,Oro,35436,16446.79,2023-11-14,Vigente
384,1364,Platino,121417,45633.98,2026-03-12,Cancelada
385,2607,Signature,191756,152422.98,2022-08-31,Cancelada
386,2980,Signature,232942,31913.66,2024-01-24,Bloqueada
387,7303,Oro,39339,30485.34,2023-05-06,Cancelada
388,5949,Signature,250057,83220.44,2026-03-01,Vigente
389,2424,Signature,216316,7763.71,2025-12-31,Cancelada
390,1304,Signature,238709,4590.0,2023-06-12,Vigente
391,7422,Platino,79414,14782.6,2023-02-26,Vigente
392,6164,Clasica,14162,7428.75,2023-12-21,Cancelada
393,4979,Platino,89877,65503.64,2022-12-23,Cancelada
394,2994,Platino,109916,24724.44,2025-03-03,Vigente
395,6123,Oro,37591,19022.9,2023-06-06,Vigente
396,4139,Platino,99693,26639.09,2022-11-07,Vigente
397,3511,Clasica,13403,8962.62,2025-12-04,Bloqueada
398,4482,Signature,194017,52717.22,2025-05-20,Vigente
399,2355,Clasica,12342,10252.22,2023-09-12,Vigente
400,6372,Clasica,19061,1792.5,2024-03-17,Bloqueada
401,3583,Signature,227587,48066.12,2025-03-03,Cancelada
402,5055,Clasica,12257,7776.05,2026-01-27,Vigente
403,4867,Platino,95783,69976.44,2025-03-22,Cancelada
404,3441,Signature,217240,24479.52,2023-01-17,Bloqueada
405,1010,Clasica,19683,14649.34,2023-11-02,Bloqueada
406,4460,Signature,192394,61560.7,2024-08-19,Cancelada
407,1700,Clasica,17787,5944.37,2022-10-01,Vigente
408,3087,Platino,74911,32560.5,2023-04-11,Bloqueada
409,7262,Oro,44063,743.81,2025-09-29,Bloqueada
410,2656,Platino,101791,28186.1,2025-11-28,Vigente
411,3568,Oro,49612,19488.57,2023-01-13,Vigente
412,0,Clasica,14647,4652.35,2024-05-15,Bloqueada
413,224,Clasica,16753,3355.01,2026-04-23,Vigente
414,5540,Platino,108262,40940.96,2025-04-13,Cancelada
415,397,Signature,232459,52825.64,2023-12-17,Vigente
416,5280,Signature,243059,14831.94,2025-12-17,Vigente
417,851,Signature,276177,76260.51,2023-03-14,Bloqueada
418,5035,Clasica,19919,13393.95,2022-10-13,Vigente
419,908,Platino,81963,38489.29,2026-03-16,Cancelada
420,7154,Signature,276924,139939.7,2025-11-22,Vigente
421,5084,Oro,46892,33445.12,2026-03-02,Cancelada
422,6933,Clasica,18801,4201.28,2023-06-03,Vigente
423,233,Signature,227770,154421.47,2024-09-13,Vigente
424,6862,Platino,83710,54594.45,2025-02-06,Vigente
425,492,Platino,102276,66298.63,2024-12-01,Cancelada
426,3358,Platino,75235,1789.13,2026-04-13,Vigente
427,175,Clasica,18570,11013.54,2026-04-11,Vigente
428,162,Oro,42904,7371.77,2024-07-21,Vigente
429,1800,Signature,183021,70708.06,2023-08-22,Cancelada
430,5356,Oro,40422,5370.39,2025-06-25,Bloqueada
431,631,Clasica,20384,15220.97,2023-04-17,Vigente
432,1065,Oro,45180,31564.94,2025-02-26,Bloqueada
433,3773,Oro,47265,21565.76,2023-03-09,Bloqueada
434,4004,Signature,209197,57586.91,2026-07-25,Cancelada
435,2147,Signature,279188,179265.85,2024-07-29,Cancelada
436,6816,Oro,55060,41098.74,2024-02-17,Vigente
437,4521,Platino,95163,14594.51,2024-01-29,Vigente
438,6433,Oro,38163,21028.79,2022-08-31,Vigente
439,5558,Clasica,16166,4245.15,2024-10-22,Cancelada
440,5756,Oro,46306,28935.73,2025-12-25,Bloqueada
441,3794,Clasica,19349,14447.58,2023-06-15,Bloqueada
442,252,Signature,270480,229647.98,2022-11-08,Vigente
443,610,Clasica,12676,2692.87,2024-12-30,Bloqueada
444,6280,Clasica,16596,12628.09,2023-10-02,Vigente
445,3782,Platino,112808,5276.15,2026-03-21,Vigente
446,2141,Clasica,17892,10614.96,2025-08-20,Vigente
447,6744,Signature,252962,28843.44,2025-01-03,Vigente
448,514,Signature,269246,155690.84,2025-04-24,Cancelada
449,2898,Clasica,17114,9983.07,2023-06-12,Vigente
450,7486,Signature,223041,13433.16,2025-04-09,Vigente
451,7023,Signature,180715,1681.82,2026-09-03,Vigente
452,5221,Platino,112429,87803.24,2024-01-14,Vigente
453,3662,Signature,196996,74563.72,2026-01-06,Vigente
454,6312,Oro,54834,44959.61,2023-11-11,Vigente
455,2840,Signature,227643,103770.7,2026-05-19,Vigente
456,3707,Signature,184098,134838.5,2022-10-22,Cancelada
457,5778,Platino,124970,25158.69,2022-09-28,Vigente
458,1360,Clasica,12084,8559.81,2023-11-03,Vigente
459,6864,Oro,47823,23598.27,2025-10-26,Cancelada
460,2775,Oro,48671,2814.21,2025-06-17,Vigente
461,7382,Platino,98724,36216.28,2023-03-08,Vigente
462,6500,Platino,113720,90503.53,2024-07-13,Cancelada
463,1155,Clasica,20716,13321.88,2023-08-08,Vigente
464,5453,Oro,50542,13926.21,2022-08-26,Vigente
465,5266,Oro,39635,23141.29,2024-10-09,Bloqueada
466,5538,Oro,40845,31556.68,2025-01-02,Bloqueada
