cliente_id,dias_mora,monto_vencido,tramo_mora,prob_pago,ultima_gestion
54,83,1109.56,61-90 dias,0.4,Acuerdo
2798,26,16440.46,1-30 dias,0.78,Email
873,16,9415.77,1-30 dias,0.84,Llamada
5123,109,10581.69,90+ dias,0.22,SMS
1057,128,7551.11,90+ dias,0.1,Sin gestion
2328,85,7864.71,61-90 dias,0.38,SMS
3502,124,25653.23,90+ dias,0.12,Email
6821,125,11589.58,90+ dias,0.12,Llamada
19,155,10316.92,90+ dias,0.05,Sin gestion
3458,86,1207.39,61-90 dias,0.38,Sin gestion
5490,125,4514.17,90+ dias,0.12,Acuerdo
3429,59,6757.75,31-60 dias,0.56,Sin gestion
1492,30,39074.12,1-30 dias,0.75,Email
756,152,14197.02,90+ dias,0.05,Llamada
7337,144,34130.01,90+ dias,0.05,SMS
724,110,22441.58,90+ dias,0.22,SMS
3063,63,2238.1,61-90 dias,0.53,SMS
527,179,22678.42,90+ dias,0.05,Acuerdo
3065,134,4833.41,90+ dias,0.06,Email
5540,4,35939.43,1-30 dias,0.92,Llamada
6226,101,16514.77,90+ dias,0.28,Email
7831,171,4259.28,90+ dias,0.05,Acuerdo
5076,154,10636.38,90+ dias,0.05,Acuerdo
2666,82,2956.43,61-90 dias,0.4,Acuerdo
2999,95,1417.18,90+ dias,0.32,SMS
899,142,3522.46,90+ dias,0.05,Visita
6725,9,1381.7,1-30 dias,0.89,Email
1755,118,9737.97,90+ dias,0.16,Sin gestion
2547,145,2771.49,90+ dias,0.05,Visita
187,157,42646.24,90+ dias,0.05,Llamada
7738,7,1410.87,1-30 dias,0.9,Llamada
629,28,4529.79,1-30 dias,0.76,Acuerdo
388,139,47051.9,90+ dias,0.05,Sin gestion
3279,44,1161.43,31-60 dias,0.66,SMS
296,88,4564.39,61-90 dias,0.36,Email
2642,174,5145.26,90+ dias,0.05,Acuerdo
7473,6,10415.65,1-30 dias,0.91,Acuerdo
7927,36,20331.12,31-60 dias,0.71,Visita
4032,14,3912.46,1-30 dias,0.86,Email
4699,62,29528.81,61-90 dias,0.54,Llamada
2436,86,17223.43,61-90 dias,0.38,Llamada
2031,17,6728.1,1-30 dias,0.84,Visita
4143,36,9791.85,31-60 dias,0.71,Visita
7425,151,1301.88,90+ dias,0.05,Sin gestion
4157,25,4673.18,1-30 dias,0.78,Sin gestion
99,81,25239.52,61-90 dias,0.41,Llamada
7227,63,58770.47,61-90 dias,0.53,SMS
2447,151,16749.0,90+ dias,0.05,Llamada
4980,91,2051.62,90+ dias,0.34,Llamada
7231,166,28587.2,90+ dias,0.05,Visita
2265,98,2834.28,90+ dias,0.3,Llamada
4383,16,12551.8,1-30 dias,0.84,Llamada
7267,148,16329.55,90+ dias,0.05,Llamada
4588,139,11556.65,90+ dias,0.05,Email
6052,119,6550.68,90+ dias,0.16,Visita
4064,60,21615.76,31-60 dias,0.55,Visita
6779,85,56326.69,61-90 dias,0.38,SMS
6029,85,43599.02,61-90 dias,0.38,Llamada
1691,179,19621.31,90+ dias,0.05,Llamada
1737,30,48431.14,1-30 dias,0.75,Acuerdo
7245,72,17387.87,61-90 dias,0.47,Acuerdo
2371,89,53562.04,61-90 dias,0.36,Llamada
5168,68,7027.15,61-90 dias,0.5,Llamada
3155,18,44276.49,1-30 dias,0.83,SMS
90,151,1390.83,90+ dias,0.05,Visita
5631,111,17988.23,90+ dias,0.21,Visita
1292,69,22196.76,61-90 dias,0.49,Sin gestion
988,110,10438.4,90+ dias,0.22,Sin gestion
5374,138,1774.35,90+ dias,0.05,Email
2722,40,1623.73,31-60 dias,0.68,Sin gestion
4559,68,25893.51,61-90 dias,0.5,Acuerdo
2234,82,3095.99,61-90 dias,0.4,Email
2710,13,35032.95,1-30 dias,0.86,SMS
6270,21,45943.35,1-30 dias,0.81,Email
4379,58,16627.74,31-60 dias,0.56,Llamada
6097,165,39435.31,90+ dias,0.05,Visita
6451,17,13608.64,1-30 dias,0.84,Acuerdo
6186,71,22391.94,61-90 dias,0.48,Email
1651,70,4061.49,61-90 dias,0.48,Sin gestion
2196,2,5931.24,1-30 dias,0.94,SMS
5294,171,7749.74,90+ dias,0.05,Visita
5049,20,24808.68,1-30 dias,0.82,Acuerdo
1944,25,34182.18,1-30 dias,0.78,Acuerdo
4362,7,19212.83,1-30 dias,0.9,SMS
6507,94,11796.93,90+ dias,0.32,Llamada
4415,53,2291.83,31-60 dias,0.6,SMS
450,8,22679.22,1-30 dias,0.9,Acuerdo
1701,23,51425.52,1-30 dias,0.8,Visita
2407,50,23889.92,31-60 dias,0.62,Visita
6832,152,2315.95,90+ dias,0.05,Email
5673,128,2306.24,90+ dias,0.1,Visita
5471,83,7682.97,61-90 dias,0.4,SMS
6895,118,14362.96,90+ dias,0.16,Email
6240,114,37424.73,90+ dias,0.19,Llamada
1923,69,16393.63,61-90 dias,0.49,SMS
7774,157,31082.38,90+ dias,0.05,Visita
5204,112,22699.95,90+ dias,0.2,Llamada
4513,75,14621.8,61-90 dias,0.45,Acuerdo
7963,105,20416.94,90+ dias,0.25,Sin gestion
7005,2,20398.3,1-30 dias,0.94,Visita
4998,137,7188.2,90+ dias,0.05,Sin gestion
3319,62,4059.23,61-90 dias,0.54,Llamada
4653,48,2162.43,31-60 dias,0.63,Llamada
2223,21,19641.7,1-30 dias,0.81,Email
223,123,886.84,90+ dias,0.13,Acuerdo
3457,67,13137.84,61-90 dias,0.5,Acuerdo
5111,78,549.92,61-90 dias,0.43,Llamada
2024,117,35449.01,90+ dias,0.17,Email
4089,160,12800.54,90+ dias,0.05,Acuerdo
7446,115,31896.76,90+ dias,0.18,Acuerdo
7246,92,4970.79,90+ dias,0.34,Email
5754,16,1797.86,1-30 dias,0.84,Sin gestion
4641,116,27389.97,90+ dias,0.18,Sin gestion
5226,117,52899.24,90+ dias,0.17,Llamada
6072,55,23900.59,31-60 dias,0.58,Acuerdo
5007,112,19736.16,90+ dias,0.2,Sin gestion
2399,41,6211.76,31-60 dias,0.68,Sin gestion
2136,8,5202.78,1-30 dias,0.9,Acuerdo
173,118,19826.62,90+ dias,0.16,Sin gestion
651,162,36501.94,90+ dias,0.05,Email
2803,158,34921.48,90+ dias,0.05,Email
4200,97,31621.72,90+ dias,0.3,Llamada
2726,82,17309.79,61-90 dias,0.4,Llamada
367,110,22380.01,90+ dias,0.22,Visita
681,72,6049.89,61-90 dias,0.47,Llamada
1570,84,20750.11,61-90 dias,0.39,Acuerdo
4929,177,3644.27,90+ dias,0.05,Llamada
1179,69,39454.4,61-90 dias,0.49,Acuerdo
106,106,3733.08,90+ dias,0.24,SMS
7434,132,22396.74,90+ dias,0.07,SMS
1141,156,22817.95,90+ dias,0.05,SMS
4750,145,43060.75,90+ dias,0.05,Llamada
4279,97,18300.01,90+ dias,0.3,Llamada
3879,180,3885.18,90+ dias,0.05,Email
4917,96,1909.92,90+ dias,0.31,Visita
1292,20,2200.45,1-30 dias,0.82,Sin gestion
5559,87,3440.46,61-90 dias,0.37,Acuerdo
67,60,34427.95,31-60 dias,0.55,Email
6334,8,1327.56,1-30 dias,0.9,Sin gestion
4809,69,20781.92,61-90 dias,0.49,SMS
5925,30,10062.63,1-30 dias,0.75,Sin gestion
7419,32,660.65,31-60 dias,0.74,Visita
1161,170,12219.64,90+ dias,0.05,SMS
4160,156,14784.25,90+ dias,0.05,Sin gestion
7249,168,19702.17,90+ dias,0.05,SMS
7271,102,6047.4,90+ dias,0.27,Email
5710,72,25592.53,61-90 dias,0.47,Visita
3628,71,2582.14,61-90 dias,0.48,Acuerdo
4133,72,41625.05,61-90 dias,0.47,SMS
7058,63,2962.11,61-90 dias,0.53,Acuerdo
800,115,11258.33,90+ dias,0.18,Visita
7472,108,18645.87,90+ dias,0.23,Visita
4895,58,7736.67,31-60 dias,0.56,Visita
262,101,9968.44,90+ dias,0.28,Llamada
4456,40,32968.02,31-60 dias,0.68,Llamada
5686,22,8831.99,1-30 dias,0.8,Acuerdo
3574,171,10780.5,90+ dias,0.05,Visita
1408,122,1369.19,90+ dias,0.14,Visita
4756,7,20938.84,1-30 dias,0.9,Visita
138,153,19296.65,90+ dias,0.05,Sin gestion
2949,32,3317.39,31-60 dias,0.74,Sin gestion
5677,112,6505.16,90+ dias,0.2,Sin gestion
4998,31,38507.86,31-60 dias,0.74,Sin gestion
4154,30,946.53,1-30 dias,0.75,Email
2876,112,13443.99,90+ dias,0.2,SMS
7269,138,20936.82,90+ dias,0.05,SMS
7011,109,6155.27,90+ dias,0.22,SMS
6141,149,6840.21,90+ dias,0.05,Email
5156,90,23244.85,61-90 dias,0.35,SMS
81,128,24677.21,90+ dias,0.1,Email
1158,4,8787.89,1-30 dias,0.92,Sin gestion
1440,151,9791.4,90+ dias,0.05,Acuerdo
4950,60,13748.44,31-60 dias,0.55,Acuerdo
3054,112,12908.13,90+ dias,0.2,Llamada
7061,74,49478.56,61-90 dias,0.46,Llamada
1883,155,4655.31,90+ dias,0.05,SMS
2941,162,599.16,90+ dias,0.05,Sin gestion
7719,6,1371.29,1-30 dias,0.91,Email
5022,167,23680.18,90+ dias,0.05,SMS
2661,81,34506.34,61-90 dias,0.41,Email
1935,78,18585.64,61-90 dias,0.43,Acuerdo
7022,107,19599.8,90+ dias,0.24,Sin gestion
2189,169,4622.15,90+ dias,0.05,Sin gestion
557,107,2489.9,90+ dias,0.24,SMS
2103,130,14030.79,90+ dias,0.08,Sin gestion
2419,138,1260.12,90+ dias,0.05,Email
4855,151,34623.48,90+ dias,0.05,Acuerdo
1453,147,11958.72,90+ dias,0.05,Llamada
7800,135,21681.56,90+ dias,0.05,Sin gestion
906,104,6067.09,90+ dias,0.26,SMS
829,101,7688.01,90+ dias,0.28,Visita
4580,179,3681.79,90+ dias,0.05,Visita
450,148,16610.78,90+ dias,0.05,Email
6368,175,44494.9,90+ dias,0.05,Sin gestion
7942,12,12318.66,1-30 dias,0.87,Email
1626,45,7717.66,31-60 dias,0.65,Visita
6522,63,20925.81,61-90 dias,0.53,SMS
5210,91,6693.97,90+ dias,0.34,Visita
1360,127,12137.17,90+ dias,0.1,SMS
3149,73,19527.33,61-90 dias,0.46,Llamada
5209,83,28342.43,61-90 dias,0.4,Acuerdo
2026,108,37167.43,90+ dias,0.23,Llamada
1224,113,10569.26,90+ dias,0.2,Sin gestion
6823,147,14170.38,90+ dias,0.05,Sin gestion
190,162,40473.04,90+ dias,0.05,Llamada
4919,107,34565.07,90+ dias,0.24,Acuerdo
1195,166,3594.54,90+ dias,0.05,Visita
7378,78,1560.23,61-90 dias,0.43,Email
787,76,12599.24,61-90 dias,0.44,Acuerdo
4152,161,3926.71,90+ dias,0.05,Sin gestion
6431,34,19514.77,31-60 dias,0.72,SMS
4330,106,8832.3,90+ dias,0.24,Email
2623,144,32674.33,90+ dias,0.05,SMS
3221,28,20581.07,1-30 dias,0.76,Visita
4654,59,38563.73,31-60 dias,0.56,Acuerdo
1488,139,759.23,90+ dias,0.05,Sin gestion
2457,29,24373.28,1-30 dias,0.76,Acuerdo
1369,154,19759.68,90+ dias,0.05,Sin gestion
4801,124,11679.58,90+ dias,0.12,Sin gestion
3443,163,3690.63,90+ dias,0.05,Sin gestion
5479,114,1402.5,90+ dias,0.19,Sin gestion
2574,88,17306.48,61-90 dias,0.36,SMS
4169,19,904.71,1-30 dias,0.82,SMS
7266,166,6778.63,90+ dias,0.05,Acuerdo
7097,19,4897.8,1-30 dias,0.82,Sin gestion
532,86,10885.53,61-90 dias,0.38,Llamada
331,83,6254.2,61-90 dias,0.4,Llamada
222,15,6813.35,1-30 dias,0.85,Email
1409,63,15178.46,61-90 dias,0.53,Visita
2505,40,1253.88,31-60 dias,0.68,Email
4017,116,48717.94,90+ dias,0.18,Sin gestion
7896,161,3717.13,90+ dias,0.05,Acuerdo
5144,63,19849.08,61-90 dias,0.53,Acuerdo
1148,41,19958.73,31-60 dias,0.68,Visita
602,141,6513.17,90+ dias,0.05,SMS
5276,151,635.43,90+ dias,0.05,Acuerdo
2173,83,39592.28,61-90 dias,0.4,Email
2947,101,8445.49,90+ dias,0.28,SMS
7522,90,1189.89,61-90 dias,0.35,Sin gestion
3288,22,5395.13,1-30 dias,0.8,Visita
7467,130,11732.98,90+ dias,0.08,Llamada
3235,128,6272.42,90+ dias,0.1,Email
2179,40,15496.8,31-60 dias,0.68,Email
5797,179,11366.69,90+ dias,0.05,Acuerdo
4525,162,846.42,90+ dias,0.05,Llamada
5425,27,15459.37,1-30 dias,0.77,Email
4576,160,2568.05,90+ dias,0.05,Visita
7397,112,2081.99,90+ dias,0.2,Email
4468,68,744.98,61-90 dias,0.5,SMS
1833,139,26634.45,90+ dias,0.05,Acuerdo
6389,61,29203.0,61-90 dias,0.54,Visita
1261,16,651.06,1-30 dias,0.84,Llamada
2017,71,14659.21,61-90 dias,0.48,Acuerdo
3081,54,45720.41,31-60 dias,0.59,Sin gestion
719,33,2943.58,31-60 dias,0.73,SMS
7803,7,13780.94,1-30 dias,0.9,Llamada
2392,158,21257.48,90+ dias,0.05,Visita
1647,44,30338.33,31-60 dias,0.66,Visita
2592,4,4455.97,1-30 dias,0.92,Sin gestion
4554,88,1327.48,61-90 dias,0.36,Sin gestion
4491,134,2600.29,90+ dias,0.06,Email
573,77,971.91,61-90 dias,0.44,Sin gestion
3480,119,30765.08,90+ dias,0.16,Visita
7605,39,8524.79,31-60 dias,0.69,Sin gestion
4376,52,8773.45,31-60 dias,0.6,Visita
3421,64,14318.37,61-90 dias,0.52,Email
2738,11,14535.39,1-30 dias,0.88,Sin gestion
4632,156,48649.68,90+ dias,0.05,Visita
378,150,3229.68,90+ dias,0.05,Sin gestion
5125,160,14412.71,90+ dias,0.05,Email
7398,161,11580.69,90+ dias,0.05,SMS
7707,160,49866.79,90+ dias,0.05,Email
